[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] 
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
[2017-03-16 12:54:16] news_info.INFO: Info: writing was succesfull [] []
